company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year,stage_of_startup
Chaayos,2016,New Delhi,Transport,Chaayos was born in November 2012 out of this premise - a contemporary interpretation of the chai adda.,Mumbai Angels Network,11865690.0,Series B,2018,Early Stage
Heelium,2016,Pune,LifeStyle,Heelium is an athletic footwear and wearable startup with primary focus on sports safety and sustainability.,9Unicorns,3000000.0,Seed,2018,Early Stage
LT Foods,2016,New Delhi,Transport,LT Foods believe that nature will continue to nurture us until we as a species continue to breathe and live.,Mumbai Angels Network,20508600.0,Post-IPO Equity,2018,Early Stage
Multibashi,2016,Bengaluru,Education,Free language learning platform.,Inflection Point Ventures,146490.0,Seed,2018,Early Stage
Cleardekho,2016,Ghaziabad,Beauty & Fashion,Uttar Pradesh based online eyewear marketplace.,"Alia Bhatt, Katrina Kaif",3000000.0,Venture - Series Unknown,2018,Early Stage
Dailyhunt,2016,Bangalore,Media & Entertainment,NewsHunt is a Bangalore based eBooks company.,"9Unicorns, Ashneer Grover",6000000.0,Series E,2018,Early Stage
SlicePay,2016,Bengaluru,Commerce,SlicePay is an AI based instant credit app for youngsters in India.,Inflection Point Ventures,14900000.0,Series A,2018,Early Stage
Udaan,2016,Bangalore,Transport,"Udaan is a B2B trade platform, designed specifically for small and medium businesses in India.",Mumbai Angels Network,225000000.0,Series C,2018,Early Stage
Happyeasygo Group,2016,Haryana,Hospitality,HappyEasyGo is an online travel domain.,Hindustan Media Venture,3000000.0,Series A,2018,Early Stage
Mombay,2016,Mumbai,Transport,Mombay is a unique opportunity for housewives to start household food business and avail everyone with their homemade healthy dishes.,Mumbai Angels Network,7500.0,Seed,2018,Early Stage
Droni Tech,2016,Mumbai,Technology,Droni Tech manufacture UAVs and develop software to service a range of industry requirements.,Venture Catalysts,512715.0,Seed,2018,Early Stage
Netmeds,2016,Chennai,Health,Welcome to India's most convenient pharmacy!,Venture Catalysts,35000000.0,Series C,2018,Early Stage
Bombay Shaving,2015,New Delhi,Commerce,Provides a range of male grooming products,Sixth Sense Ventures,6300000.0,Venture - Series Unknown,2019,Established
Ruangguru,2014,Mumbai,Education,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",General Atlantic,150000000.0,Series C,2019,Established
Eduisfun,2015,Mumbai,Education,It aims to make learning fun via games.,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Fresh funding,2019,Established
HomeLane,2014,Chennai,LifeStyle,Provides interior designing solutions,"Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000.0,Series D,2019,Established
Nu Genes,2004,Telangana,Agriculture,"It is a seed company engaged in production, processing and marketing of seeds",Innovation in Food and Agriculture (IFA),6000000.0,Venture - Series Unknown,2019,Established
FlytBase,2015,Pune,Technology,A drone automation platform,Undisclosed,3000000.0,Venture - Series Unknown,2019,Established
Finly,2015,Bangalore,Technology,"It builds software products that makes work simpler, pleasant, and productive","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",3000000.0,Venture - Series Unknown,2019,Established
Kratikal,2013,Noida,Technology,It is a product-based cybersecurity solutions provider,"Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000.0,Pre series A,2019,Established
Quantiphi,2015,Pune,Technology,It is an AI and big data services company providing business solutions.,Multiples Alternate Asset Management,20000000.0,Series A,2019,Established
Lenskart,2010,Delhi,Commerce,It is a eyewear company,SoftBank,275000000.0,Series G,2019,Established
Cub McPaws,2010,Mumbai,Commerce,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,Venture Catalysts,3000000.0,Venture - Series Unknown,2019,Established
Appnomic,2015,Bangalore,Technology,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",Avataar Ventures,22000000.0,Venture - Series Unknown,2019,Established
Kaleidofin,2018,Chennai,Technology,Platform that provides complete financial solutions for excluded individuals and households,Oikocredit,5000000.0,Series A,2019,Early Stage
JobSquare,2019,Ahmedabad,Business,Technology-based platform that is connecting suitable applicants to the right recruiters,Titan Capital,140500.0,Venture - Series Unknown,2019,Early Stage
Open Secret,2015,New Delhi,Food & Beverages,It produces and sells top quality snacks,Matrix Partners,3000000.0,Venture - Series Unknown,2019,Established
LivFin,2017,Delhi,Technology,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",German development finance institution DEG,5000000.0,Venture - Series Unknown,2019,Early Stage
Byju's,2011,Pune,Education,Provides online learning classes,"South Africa’s Naspers Ventures, the CPP Investment Board",540000000.0,Venture - Series Unknown,2019,Established
Zest Money,2015,Bangalore,Technology,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,Goldman Sachs.,15000000.0,Series B,2019,Established
Witblox,2014,Mumbai,Education,Offers a range of robotics learning tools,Mumbai Angels Network,182700.0,Venture - Series Unknown,2019,Established
Azah Personal Care Pvt. Ltd.,2018,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Kunal Bahl, Rohit Bansal.",3000000.0,Pre series A,2019,Early Stage
SalaryFits,2015,Bangalore,Technology,A platform that promotes financial well-being of employees at workplace,Brazilian VC Fund Confrapar,5000000.0,Venture - Series Unknown,2019,Established
Pristyn Care,2018,Delhi,Health,Delivers advanced medical care & clinical excellence aided by next-level technology,"Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000.0,Series B,2019,Early Stage
Springboard,2013,Bangalore,Education,Offers online courses and extensive mentor-based learning,Reach Capital,11000000.0,Post series A,2019,Established
DROR Labs Pvt. Ltd,2018,Delhi,Technology,It uses technology to create a trust-based network of responsible citizens to ensure safety,Inflection Point Ventures,3000000.0,Venture - Series Unknown,2019,Early Stage
Medlife,2014,Bangalore,Health,It solves inadequacies in the healthcare delivery system through technology,Wilson Global Opportunities Fund,15500000.0,Venture - Series Unknown,2019,Established
Seekify,2019,Delhi,Technology,Customer Experience (CX) Automation platform,Sequoia Capita,1500000.0,Seed funding,2019,Early Stage
Toffee Insurance,2017,Haryana,Finance,Provides variety of insurance plans and policies,IVM Intersurer,5500000.0,Series A,2019,Early Stage
Fireflies .ai,2015,Gurugram,Technology,Developer of an artificial intelligence-powered assistant for businesses,Canaan Partners,5000000.0,Venture - Series Unknown,2019,Established
HungerBox,2015,Bangalore,Food & Beverages,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000.0,Series C,2019,Established
Bijak,2019,Mumbai,Agriculture,B2B platform for agricultural commodities.,"Omnivore and Omidyar Network India, Sequoia Capital",2500000.0,Seed fund,2019,Early Stage
Licious,2015,Bangalore,Food & Beverages,Online meat shop,Vertex Growth Fund,30000000.0,Series E,2019,Established
truMe,2015,Mumbai,Technology,A global platform for Identity and Access Management,Rajan Kaistha,140000.0,Venture - Series Unknown,2019,Established
Pumpkart,2014,Chandigarh,Commerce,B2B model for appliances and electrical products,Dinesh Dua,3000000.0,Venture - Series Unknown,2019,Established
Asteria Aerospace,2011,Bangalore,Manufacturing,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",Reliance Industries,230000000.0,Venture - Series Unknown,2019,Established
Rivigo,2014,Bangalore,Transport,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",20000000.0,Series F,2019,Established
HappyEasyGo,2017,Gurugram,Hospitality,Online flight booking,"Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",49400000.0,Series B+,2019,Early Stage
Zetwerk,2018,Bangalore,Manufacturing,Provides facilities to get products manufactured.,"Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000.0,Series B,2019,Early Stage
Observe.AI,2015,Bangalore,Technology,Creates a voice AI platform,Scale Venture Partners,26000000.0,Series A,2019,Established
Freshokartz,2016,Jaipur,Commerce,Online fruits and vegetables delivery company,ThinkLab,150000.0,Pre series A,2019,Early Stage
Lil’ Goodness and sCool meal,2015,Bangalore,Food & Beverages,It empowers moms to provide the best of foods to their Lil' ones,"Sajan Pillai, Muthu Krishnan,",400000.0,Venture - Series Unknown,2019,Established
Trell,2016,Bangalore,Media & Entertainment,Blogging platform that enables people to create visual collections of their travel and local experiences,"Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000.0,Pre series A,2019,Early Stage
VMate,2015,Bangalore,Media & Entertainment,A short video platform,Alibaba,100000000.0,Venture - Series Unknown,2019,Established
Bombay Shirt Company,2012,Mumbai,Commerce,Online custom shirt brand,Lightbox Ventures,8000000.0,Venture - Series Unknown,2019,Established
Slintel,2016,Pune,Technology,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",Stellaris Ventures,1500000.0,Venture - Series Unknown,2019,Early Stage
MyGameMate,2015,Bangalore,Sports,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,"Jindagi Live Angels,",100000.0,Venture - Series Unknown,2019,Established
Afinoz,2015,Noida,Technology,Online financial marketplace for customized rate quotes on loans and investment products in India,Fintech innovation lab,3000000.0,Venture - Series Unknown,2019,Established
Rein Games,2015,Noida,Technology,"It develops, publishes and distributes games across various platforms","Manipal Education and Medical Group (MEMG) family office, Titan Capital",50000000.0,Pre series A,2019,Established
Ecozen,2015,Pune,Agriculture,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,Innovation in Food & Agriculture Fund (IFA Fund),6000000.0,Series A,2019,Established
Box8,2011,Mumbai,Food & Beverages,Enables to order food online,Trifecta Capital,120000000.0,Venture - Series Unknown,2019,Established
Awign Enterprises,2016,Bangalore,Business,It supplies workforce to the economy,"Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",4000000.0,Series A,2019,Early Stage
Purplle,2012,Mumbai,Beauty & Fashion,Online makeup and beauty products retailer,Goldman Sachs,30000000.0,Series C,2019,Established
Freightwalla,2017,Mumbai,Commerce,Provides digital platform for businesses to plan and manage their international freight shipments online,"Amplo, FJ Labs, Rogue One Capital",4000000.0,Series A,2019,Early Stage
TapChief,2016,Bangalore,Business,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,Blume Ventures.,1500000.0,Pre series A,2019,Early Stage
eJOHRI,2015,Mumbai,Beauty & Fashion,Omnichannel marketplace for gems and jewellery,Rajesh Ranavat,1000000.0,Pre series A,2019,Established
Ninjacart,2015,Bangalore,Commerce,"It connects producers of food directly to retailers, restuarants and service providers.","Walmart, Flipkart",3000000.0,Venture - Series Unknown,2019,Established
Binca Games,2014,Mumbai,Sports,It offers games that are available across India and UK.,Sunil Gavaskar,3000000.0,Venture - Series Unknown,2019,Established
KredX,2015,Bangalore,Commerce,Invoice discounting platform,Tiger Global Management,26000000.0,Series B,2019,Established
m.Paani,2015,Mumbai,Commerce,It digitizes and organises local retailers,"AC Ventures, Henkel",5500000.0,Series A,2019,Established
Origo,2010,Gurugram,Agriculture,It provides post-harvest management services for agricultural commodities,"Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000.0,Venture - Series Unknown,2019,Established
WishADish,2015,Delhi,Food & Beverages,Provides management solution for restaurants,Undisclosed,6000000.0,Venture - Series Unknown,2019,Established
Ecom Express,2012,Gurugram,Transport,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,CDC Group,36000000.0,Venture - Series Unknown,2019,Established
Stanza Living,2017,Delhi,Real Estate,Provides comfortable and secure accomodation for students,Alteria Capital,5700000.0,Venture - Series Unknown,2019,Early Stage
PiBeam,2015,Chennai,Transport,It is engaged in building sustainable and affordable micro-mobility electric vehicles,GAIL (India) Ltd,50000000.0,Venture - Series Unknown,2019,Established
Euler Motors,2015,Delhi,Transport,It is offering mobility as a service,"Blume Ventures, Emergent Ventures",2000000.0,Venture - Series Unknown,2019,Established
Moms Co,2015,New Delhi,Commerce,It is into mother and baby care-focused consumer goods,"Saama Capital, DSG Consumer Partners",5000000.0,Series B,2019,Established
Cubical Labs,2013,Information Technology & Services,Technology,Home automation solution provider,Rockstud Capital,3000000.0,Series B,2019,Established
Lawyered,2015,Delhi,Business,It helps to connect to legal advise online,"Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000.0,Venture - Series Unknown,2019,Established
Cuemath,2013,Bangalore,Education,It helps students to learn math online,"Manta Ray Ventures Limited, Google’s Capital G, Sequoia India.",5500000.0,Venture - Series Unknown,2019,Established
Licious,2015,Bangalore,Food & Beverages,Online meat shop,Vertex Ventures,25000000.0,Series D,2019,Established
Nivesh.com,2016,Noida,Commerce,The platform simplifies the process of investment,Windrose Capital,600000.0,Venture - Series Unknown,2019,Early Stage
Zebu,2015,Goa,Technology,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",Undisclosed,4000000.0,Seed round,2019,Established
Smart Institute,2015,Surat,Education,A platform to learn online,HNI investors,1500000.0,Venture - Series Unknown,2019,Established
CarDekho,2008,Jaipur,Technology,Enables people to buy and sell new/old cars.,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000.0,Series D,2019,Established
Shadowfax,2015,Bangalore,Transport,A platform for delivery services,"Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000.0,Series D,2019,Established
Credr,2014,Mumbai,Technology,A marketplace to buy and sell used bikes and scooters,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000.0,Venture - Series Unknown,2019,Established
Sportido,2015,Noida,Sports,It is a sports discovery app that helps to find people and places to play 700+ sports,"Inflection Point Ventures, SucSEED Venture Partners.",3000000.0,Series B,2019,Established
Phable,2018,Bangalore,Health,"It creates an engagement loop between doctors, hospitals, and patients via its app","LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",220000.0,Venture - Series Unknown,2019,Early Stage
Sarva,2015,Chennai,LifeStyle,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,"Venture fund, Fireside Ventures.",2800000.0,Venture - Series Unknown,2019,Established
IndyFint,2019,Bangalore,Finance,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Saravanan Adiseshan,2100000.0,Series A,2019,Early Stage
Zolostays,2015,Haryana,Real Estate,It offers affordable housing apartments to young professionals and students,Trifecta Capital,7000000.0,Venture - Series Unknown,2019,Established
Ola,2010,Bangalore,Transport,It enables one to book cab online,"Kia Motors, Hyundai",311000000.0,Venture - Series Unknown,2019,Established
Zoomcar,2013,Bangalore,Transport,A car rental service platform,Zoomcar Inc,4800000.0,Venture - Series Unknown,2019,Established
Kratikal,2015,Uttar pradesh,Technology,Provides cyber security solutions,"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000.0,Pre-series A,2019,Established
Froogal,2015,Hyderabad,Hospitality,A cloud based Customer Loyalty & Engagement Platform,US-based angel investors,1000000.0,Pre series A,2019,Established
Infra.Market,2015,Mumbai,Technology,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000.0,Series A,2019,Established
Oyo,2013,Gurugram,Hospitality,Provides rooms for comfortable stay,"MyPreferred Transformation, Avendus Finance, SoftBank",693000000.0,Venture - Series Unknown,2019,Established
GoMechanic,2016,Delhi,Technology,Find automobile repair and maintenance service providers,Sequoia Capital,5000000.0,Series B,2019,Early Stage
Spinny,2015,Delhi,Technology,Online car retailer,"Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000.0,Venture - Series Unknown,2019,Established
Ess Kay Fincorp,2015,Rajasthan,Finance,Organised Non-Banking Finance Company,"TPG, Norwest Venture Partners, Evolvence India",33000000.0,Venture - Series Unknown,2019,Established
Unbox Robotics,2019,Bangalore,Technology,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","BEENEXT, Entrepreneur First",1200000.0,Pre-series A,2021,Early Stage
upGrad,2015,Mumbai,Education,UpGrad is an online higher education platform.,"Unilazer Ventures, IIFL Asset Management",120000000.0,Venture - Series Unknown,2021,Established
Lead School,2012,Mumbai,Education,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"GSV Ventures, Westbridge Capital",30000000.0,Series D,2021,Established
Bizongo,2015,Mumbai,Commerce,Bizongo is a business-to-business online marketplace for packaging products.,"CDC Group, IDG Capital",51000000.0,Series C,2021,Established
FypMoney,2021,Gurugram,Technology,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.","Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000.0,Seed,2021,Early Stage
Urban Company,2014,New Delhi,LifeStyle,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",Vy Capital,188000000.0,Venture - Series Unknown,2021,Established
Comofi Medtech,2018,Bangalore,Health,Comofi Medtech is a healthcare robotics startup.,"CIIE.CO, KIIT-TBI",200000.0,Venture - Series Unknown,2021,Early Stage
Qube Health,2016,Mumbai,Health,India's Most Respected Workplace Healthcare Management Company,Inflection Point Ventures,3000000.0,Pre-series A,2021,Early Stage
Vitra.ai,2020,Bangalore,Technology,Vitra.ai is an AI-based video translation platform,Inflexor Ventures,3000000.0,Venture - Series Unknown,2021,Early Stage
Taikee,2010,Mumbai,Commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",Inflection Point Ventures,1000000.0,Venture - Series Unknown,2021,Established
Fitterfly,2016,Mumbai,Health,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.","9Unicorns Accelerator Fund, Metaform Ventures",3000000.0,Pre-series A,2021,Early Stage
FreeStand,2017,New Delhi,Commerce,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"SucSEED Indovation, IIM Calcutta Innovation Park",100000.0,Venture - Series Unknown,2021,Early Stage
MyDentalPlan,2014,Bangalore,Health,My Dental Plan provides dental care packages and services.,Safe Planet Medicare,700000.0,Seed,2021,Established
Freyr Energy,2014,Hyderabad,Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Impact Partners, C4D Partners",2000000.0,Venture - Series Unknown,2021,Established
DealShare,2018,Jaipur,Commerce,DealShare is a Social Commerce Startup,"Tiger Global Management, InnoVen Capital",9000000.0,Venture - Series Unknown,2021,Early Stage
Tessolve,1993,Bangalore,Manufacturing,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",Novo Tellus Capital,40000000.0,Venture - Series Unknown,2021,Established
Smart Joules,2014,New Delhi,Energy,Smart Joules is an energy management company.,"Raintree Family Office, ADB arm",49000000.0,Venture - Series Unknown,2021,Established
ORAI,2020,Bangalore,Technology,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,Inflection Point Ventures,400000.0,Pre-series A,2021,Early Stage
ixamBee,2016,New Delhi,Education,ixamBee is to provide best online learning experience for preparation of competitive exams.,"Mumbai Angels, Narendra Shyamsukha",300000.0,Seed,2021,Early Stage
CoinSwitch Kuber,2017,Bangalore,Technology,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Paradigm, Kunal Shah",25000000.0,Series B,2021,Early Stage
Razorpay,2014,Bangalore,Technology,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Matrix Partners India, GIC",160000000.0,Series E,2021,Established
Uable,2020,Bangalore,Education,Uable offers role based programmes to empower children to explore different domains.,"Chiratae Ventures, JAFCO Asia",3000000.0,Seed,2021,Early Stage
ZFW Hospitality,2015,Food & Beverages,Business,Creating a sustainable and scalable cloud kitchen network.,"Mumbai Angels Network, Expert DOJO",150000.0,Pre-seed,2021,Established
Optimized Electrotech,2017,Ahmadabad,Transport,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",GVFL,1800000.0,Pre-series A,2021,Early Stage
Northern Arc,2008,Chennai,Technology,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,"Kotak Mahindra Bank, FMO",5000000.0,Venture - Series Unknown,2021,Established
Chara,2019,Bangalore,Technology,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",Kalaari Capital,850000.0,Seed,2021,Early Stage
Sirona Hygiene,2015,New Delhi,Health,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"NB Ventures, IAN Fund",3000000.0,Series A,2021,Established
Pristyn Care,2018,Gurugram,Health,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,"Sequoia Capital India, Hummingbird Ventures",53000000.0,Series D,2021,Early Stage
TrulyMadly,2013,New Delhi,Media & Entertainment,Trulymadly is a dating platform that uses a match making algorithm.,"Gaurav Munjal, Snehil Khanor",2000000.0,Pre-series A,2021,Established
Vidyakul,2018,Mumbai,Education,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"JITO Angel Network, SOSV",500000.0,Seed,2021,Early Stage
Jambox Games,2021,Bangalore,Manufacturing,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.","Pegasus Tech Ventures, Base Partners",1100000.0,Seed,2021,Early Stage
Miko,2015,Mumbai,Manufacturing,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chiratae Ventures, YourNest Venture Capital",6000000.0,Venture - Series Unknown,2021,Established
SuperK,2019,Small Towns,Commerce,SuperK is a full-stack solution to empower small format retail stores in India.,STRIVE VC,800000.0,Seed,2021,Early Stage
TagZ Foods,2019,Bangalore,Food & Beverages,TagZ Foods is a supplier of snacks and food products.,Venture Catalysts,500000.0,Pre-series A,2021,Early Stage
Fuel Buddy,2017,New Delhi,Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Jaipuria Family Office,1000000.0,Venture - Series Unknown,2021,Early Stage
M1xchange,2017,Gurugram,Technology,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Amazon,10000000.0,Venture - Series Unknown,2021,Early Stage
Spintly,2017,Goa,Technology,Wireless cloud based access control platform,Riso Capital,500000.0,Venture - Series Unknown,2021,Early Stage
EF Polymer,2018,Rajsamand,Agriculture,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,MTG Ventures,200000.0,Venture - Series Unknown,2021,Early Stage
boAt,2016,New Delhi,Manufacturing,boAt is a consumer electronics and lifestyle company.,"Qualcomm Ventures, Warburg Pincus",6000000.0,Venture - Series Unknown,2021,Early Stage
TruNativ,2019,Food & Beverages,Transport,TruNativ Foods & Beverages Pvt Ltd,9Unicorns,3000000.0,Seed,2021,Early Stage
iBus,2010,Bangalore,Telecommunications,iBus Networks is an in-building connectivity solutions company,Morgan Stanley,21000000.0,Venture - Series Unknown,2021,Established
Puresh Daily,2019,Ranchi,Agriculture,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Alfa Ventures, Agility Venture Partners",100000.0,Seed,2021,Early Stage
LearnVern,2016,Ahmadabad,Education,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,Inflection Point Ventures,1000000.0,Venture - Series Unknown,2021,Early Stage
LimeChat,2020,Faridabad,Technology,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Stellaris Venture Partners, Ramakant Sharma",7500000.0,Seed,2021,Early Stage
Dybo,2019,Bangalore,Technology,Product Visualisation Technology for Commerce,Spanache,100000.0,Seed,2021,Early Stage
moEVing,2021,Gurugram,Transport,"Delivering clean, cost-effective and efficient mobility solutions.",Mumbai Angels Network,1000000.0,Seed,2021,Early Stage
WeWork India,2017,Bangalore,Hospitality,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Hindustan Media Venture,26000000.0,Venture - Series Unknown,2021,Early Stage
Solethreads,2018,Gurugram,Beauty & Fashion,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,"DSG Consumer Partners, Saama Capital",1000000.0,Series A,2021,Early Stage
Beldara,2018,Mumbai,Commerce,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Hindustan Media Ventures,7400000.0,Venture - Series Unknown,2021,Early Stage
CredFlow,2020,New Delhi,Technology,CredFlow provides financial solutions to automate your cashflows.,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000.0,Seed,2021,Early Stage
Do Your Thng,2018,Gurugram,Commerce,World's first shared economy platform for digital assets.,"Angelbay Holdings, Faad Network",1500000.0,Venture - Series Unknown,2021,Early Stage
Oye Rickshaw,2017,Gurugram,Transport,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Alteria Capital, Chiratae Ventures",3000000.0,Venture - Series Unknown,2021,Early Stage
Legitquest,2017,New Delhi,Business,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"WaterBridge Ventures, Info Edge",600000.0,Venture - Series Unknown,2021,Early Stage
Swiggy,2014,Bangalore,Food & Beverages,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Carmignac, Falcon Edge Capital",800000000.0,Venture - Series Unknown,2021,Established
AntWak,2019,Bangalore,Education,AntWak provides a video platform for e-learning service.,"Vaibhav Domkundwar, Kunal Shah",3000000.0,Seed,2021,Early Stage
PlayShifu,2016,Bangalore,Education,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Chiratae Ventures, Bharat Innovation Fund",17000000.0,Series B,2021,Early Stage
Pitstop,2015,Bangalore,Transport,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Acko Technology, Services, LetsVenture",3500000.0,Pre-series B,2021,Established
Lendingkart,1999,Gujarat,Technology,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Bertelsmann India Investments, Fullerton Financial Holdings",15000000.0,Debt,2021,Established
CRED,2018,Bangalore,Technology,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,"Dragoneer Investment Group, Tiger Global Management",215000000.0,Series D,2021,Early Stage
Karnival,2015,Bangalore,Technology,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,http://100x.vc/,2500000.0,Seed,2021,Established
PharmEasy,2015,Mumbai,Health,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.","TPG Growth, Caisse de Depot et Placement du Quebec",350000000.0,Series E,2021,Established
WESS,1989,Mumbai,Energy,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,Centrum Financial Services,2000000.0,Seed,2021,Established
ShopSe,2020,Mumbai,Technology,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,"Chiratae Ventures, BEENEXT",5500000.0,Venture - Series Unknown,2021,Early Stage
Fantasy Akhada,2020,Gurugram,Sports,Fantasy Akhada offers fantasy sports platform for cricket and football.,Harsha Bhogle,600000.0,Venture - Series Unknown,2021,Early Stage
Rage Coffee,2018,Food & Beverages,Food & Beverages,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,"GetVantage, Prakash Katama",3000000.0,Pre-series A,2021,Early Stage
Groww,2017,Bangalore,Technology,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Tiger Global Management, Y Combinator Continuity Fund",83000000.0,Series D,2021,Early Stage
Avanti Finance,2016,Bangalore,Technology,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,Michael & Susan Dell Foundation,26000000.0,Series A,2021,Early Stage
